CostLimit	Epoch	TotalEnvInteracts	worker/Act1	worker/Act2	worker/EpRet	worker/EpCost	learner/LossQ	learner/QVals0	learner/LossPi	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
20	265	1600	0.501163	0.4560667	-188.6466	-169.21428	3070.3723	2910.7136	-2938.9358	-393.41995	80.0	-221.0	1025.1981418132782
20	266	3200	0.78102875	0.52937466	-260.68442	-215.5	3440.8474	2762.6626	-2785.501	-332.6673	80.0	-281.0	1993.4396862983704
20	267	4800	-0.5909803	0.24280377	-0.85591877	-33.6	3937.4026	2768.6228	-2787.6018	1377.4924	80.0	0.0	3045.7567336559296
20	268	6400	0.29476234	0.17726383	611.5393	-110.5	5302.0225	2741.1309	-2766.059	1244.3568	80.0	0.0	4090.3103353977203
20	269	8000	0.2022889	0.11912474	896.3576	-69.25	6617.2925	2740.2893	-2762.4277	1556.3594	80.0	-97.0	5160.457212924957
20	270	9600	0.28566778	0.04206904	1203.9065	-41.5	6633.381	2746.2417	-2770.4937	1138.6042	80.0	0.0	6193.385059118271
20	271	11200	0.34717032	-0.022355719	530.06464	-109.6	5869.825	2747.7083	-2771.3452	1300.6646	80.0	-131.0	7207.7571177482605
20	272	12800	0.3445658	0.28167796	544.959	-117.25	5788.5015	2734.6497	-2754.3381	166.35837	80.0	-200.0	8244.920717000961
20	273	14400	0.46182892	0.060930163	333.17584	-100.15	7717.405	2698.882	-2717.9194	836.86206	80.0	0.0	9226.255811691284
20	274	16000	0.080019325	0.01052371	737.4282	-22.3	7182.6724	2665.955	-2683.4111	1672.0543	80.0	0.0	10230.507732152939
20	275	17600	0.2318184	0.16727014	600.5809	-101.05	6612.3096	2614.814	-2633.7163	607.07336	80.0	-158.0	11225.078325033188
20	276	19200	0.28315648	-0.05966517	892.1048	-111.35	6834.1924	2594.9963	-2613.8005	206.30365	80.0	-179.0	12209.131972789764
20	277	20800	0.3521917	0.10667236	1049.675	-92.1	5212.7954	2602.5945	-2620.2087	1646.6251	80.0	-89.0	13200.883308410645
20	278	22400	0.1535437	-0.07148734	801.8988	-58.2	3703.5632	2613.1162	-2629.2175	902.1234	80.0	-106.0	14192.910904407501
20	279	24000	0.09670233	0.035012648	997.48035	-42.95	3270.5159	2628.3335	-2643.1895	1666.8468	80.0	-93.0	15178.389256715775
20	280	25600	0.16249344	-0.17692186	879.4163	-54.0	3538.5405	2644.1028	-2660.6655	397.65964	80.0	0.0	16171.68965125084
20	281	27200	0.25327986	-0.022282897	770.11554	-51.15	3475.3706	2657.3003	-2677.818	173.76218	80.0	-240.0	17170.499297857285
20	282	28800	0.18495636	-0.3082219	834.484	-66.05	3147.1052	2662.797	-2677.897	774.10156	80.0	-250.0	18137.314623355865
20	283	30400	0.19875771	-0.16420043	677.4055	-50.8	3330.368	2661.018	-2677.4888	2.3999276	80.0	0.0	19143.374705791473
20	284	32000	0.6513185	0.18391983	-260.27322	-198.25	4904.869	2625.3057	-2647.1018	266.6556	80.0	0.0	20172.401327610016
20	285	33600	-0.02296833	-0.1402404	71.425995	-118.35	7292.1855	2642.6619	-2662.7705	1554.4135	80.0	-114.0	21227.066504001617
20	286	35200	0.27947828	0.043513004	1072.9558	-76.95	8570.077	2665.7114	-2686.6995	341.07074	80.0	-97.0	22221.14351606369
20	287	36800	0.33644843	0.18058918	27.560797	-151.4	8649.52	2660.657	-2680.2463	320.04367	80.0	0.0	23218.753062725067
